fire_severity,abundance,species,fire_scale
159.4594595,-0.907042254,A_Andrenidae,
193.8223938,-1.067605634,A_Andrenidae,
250.5791506,-0.049295775,A_Andrenidae,
248.2625483,0.121830986,A_Andrenidae,
278.7644788,0.13028169,A_Andrenidae,
290.7335907,0.288732394,A_Andrenidae,
325.8687259,0.096478873,A_Andrenidae,
351.7374517,-0.15915493,A_Andrenidae,
387.2586873,0.267605634,A_Andrenidae,
391.5057915,0.749295775,A_Andrenidae,
422.007722,0.265492958,A_Andrenidae,
482.6254826,0.666901408,A_Andrenidae,
526.2548263,0.736619718,A_Andrenidae,
623.9382239,0.411267606,A_Andrenidae,
583.7837838,-0.201408451,A_Andrenidae,
607.3359073,-0.702112676,A_Andrenidae,
620.8494208,-0.727464789,A_Andrenidae,
191.3555992,-0.986742424,B_Halictidae,
184.2829077,-0.712121212,B_Halictidae,
264.0471513,-0.011363636,B_Halictidae,
266.0117878,-0.085227273,B_Halictidae,
322.5933202,0.971590909,B_Halictidae,
291.5520629,-0.011363636,B_Halictidae,
356.3850688,0.287878788,B_Halictidae,
367.3870334,0.051136364,B_Halictidae,
417.2888016,0.100378788,B_Halictidae,
413.3595285,0.009469697,B_Halictidae,
434.1846758,-0.115530303,B_Halictidae,
535.9528487,-0.138257576,B_Halictidae,
592.1414538,0.246212121,B_Halictidae,
605.108055,0.248106061,B_Halictidae,
620.8251473,0.28219697,B_Halictidae,
655.0098232,0.416666667,B_Halictidae,
617.6817289,-0.613636364,B_Halictidae,
149.8564593,-0.705953827,C_Megachilidae,
180.861244,-0.534629405,C_Megachilidae,
219.138756,-0.026123937,C_Megachilidae,
243.6363636,-0.452612394,C_Megachilidae,
283.8277512,0.267314702,C_Megachilidae,
290.3349282,1.087484812,C_Megachilidae,
378.3732057,0.713851762,C_Megachilidae,
310.6220096,-0.252126367,C_Megachilidae,
377.9904306,0.311057108,C_Megachilidae,
358.0861244,-0.476306197,C_Megachilidae,
412.4401914,0.424058323,C_Megachilidae,
484.4019139,0.404009721,C_Megachilidae,
487.0813397,-0.432563791,C_Megachilidae,
541.8181818,-0.093560146,C_Megachilidae,
617.9904306,0.221749696,C_Megachilidae,
589.2822967,-0.190157959,C_Megachilidae,
601.1483254,-0.368772783,C_Megachilidae,
203.0809859,-1.695390782,D_Andrena_flavipes,
222.4471831,-1.481963928,D_Andrena_flavipes,
226.8485915,0.183366733,D_Andrena_flavipes,
268.6619718,-0.321643287,D_Andrena_flavipes,
333.3626761,0.604208417,D_Andrena_flavipes,
406.8661972,1.412825651,D_Andrena_flavipes,
380.8978873,-0.673346693,D_Andrena_flavipes,
424.9119718,-0.261523046,D_Andrena_flavipes,
456.6021127,0.147294589,D_Andrena_flavipes,
463.6443662,1.085170341,D_Andrena_flavipes,
474.2077465,0.871743487,D_Andrena_flavipes,
615.4929577,0.754509018,D_Andrena_flavipes,
617.693662,-0.276553106,D_Andrena_flavipes,
651.1443662,0.027054108,D_Andrena_flavipes,
703.9612676,1.412825651,D_Andrena_flavipes,
731.6901408,-0.435871743,D_Andrena_flavipes,
750.1760563,-1.421843687,D_Andrena_flavipes,
202.70027,1.285438766,E_Halictus_phryganicus,
226.5526553,0.787849566,E_Halictus_phryganicus,
222.0522052,-0.615236258,E_Halictus_phryganicus,
268.4068407,-0.855351977,E_Halictus_phryganicus,
333.2133213,-0.916104147,E_Halictus_phryganicus,
380.9180918,-0.959498554,E_Halictus_phryganicus,
407.0207021,-0.340405014,E_Halictus_phryganicus,
424.5724572,-0.195756991,E_Halictus_phryganicus,
456.5256526,-0.24783028,E_Halictus_phryganicus,
463.7263726,-0.349083896,E_Halictus_phryganicus,
474.0774077,-1.355834137,E_Halictus_phryganicus,
617.6417642,0.25265188,E_Halictus_phryganicus,
615.3915392,0.854387657,E_Halictus_phryganicus,
650.9450945,-0.18707811,E_Halictus_phryganicus,
703.60036,0.906460945,E_Halictus_phryganicus,
750.4050405,-0.299903568,E_Halictus_phryganicus,
731.0531053,1.910318226,E_Halictus_phryganicus,
202.7198549,-1.60566706,F_Halictus_resurgens,
222.2121487,-0.447461629,F_Halictus_resurgens,
226.2919311,0.175914994,F_Halictus_resurgens,
268.4496827,0.020070838,F_Halictus_resurgens,
333.2728921,0.140495868,F_Halictus_resurgens,
380.8703536,2.028335301,F_Halictus_resurgens,
424.8413418,1.224321133,F_Halictus_resurgens,
407.1622847,-0.022432113,F_Halictus_resurgens,
456.5729828,0.420306966,F_Halictus_resurgens,
463.8259293,0.356552538,F_Halictus_resurgens,
473.7987307,0.179456907,F_Halictus_resurgens,
614.7778785,-0.245572609,F_Halictus_resurgens,
617.9510426,-0.245572609,F_Halictus_resurgens,
651.0426111,-0.128689492,F_Halictus_resurgens,
750.3173164,-0.025974026,F_Halictus_resurgens,
704.0797824,-0.511216057,F_Halictus_resurgens,
731.2783318,-1.053128689,F_Halictus_resurgens,
