somc_perc,n_sp
1.002162719,0.008256926
1.171161048,0.997886473
1.322072761,0.997886473
1.474085911,0.997886473
1.697288282,0.997886473
1.801100106,1.009809721
2.023149936,0.985963226
2.104826141,0.985963226
2.946561992,0.985963226
4.249189071,0.985963226
1.227517123,1.987516021
1.322072761,1.987516021
2.03318356,1.975592773
3.318028105,1.975592773
9.013243041,1.951746278
23.30219887,2.953299073
6.422549619,2.965222321
3.801581958,2.965222321
3.591338811,2.965222321
2.975860867,2.977145568
2.228046281,2.977145568
1.514745444,2.989068816
27.63890551,3.954851868
26.56639844,3.954851868
14.27885664,3.966775116
13.79284304,3.966775116
10.32679081,3.954851868
8.347934318,3.966775116
5.591764991,3.978698363
2.804338172,3.978698363
2.329490196,3.990621611
2.195223019,3.990621611
1.635466729,3.990621611
1.541201683,3.990621611
1.611373265,4.992174406
1.492430429,4.992174406
3.409548872,4.968327911
8.063793245,4.968327911
14.27885664,4.956404663
27.0973463,4.956404663
22.28744196,4.968327911
21.47565042,4.968327911
44.88237109,4.944481416
59.20970634,4.944481416
64.88443473,4.944481416
72.16617771,4.944481416
62.83116987,5.922187716
47.04210331,5.922187716
39.75914664,5.934110963
31.98174664,5.934110963
30.06392502,5.934110963
53.36714736,5.934110963
50.79123699,5.934110963
27.29917619,5.934110963
10.17465799,5.946034211
9.423619911,5.946034211
7.712633684,5.957957458
7.468567757,5.957957458
3.293497063,5.969880706
2.447631795,5.969880706
2.289502211,5.969880706
1.659920442,5.969880706
1.537394116,5.969880706
1.935046431,6.971433501
2.329490196,6.971433501
2.552751295,6.971433501
5.027542293,6.959510253
6.714971092,6.959510253
12.43182465,6.959510253
24.72743923,6.947587006
32.06095381,6.947587006
44.22117037,6.947587006
69.02350744,6.935663758
57.33601799,7.937216553
52.45104792,7.937216553
43.6776167,7.937216553
25.09716714,7.937216553
5.269466791,7.961063048
2.597337136,7.972986296
1.878452731,7.984909544
1.382267308,7.984909544
2.756198956,8.962615843
3.020356328,8.962615843
3.810997096,8.950692596
4.509083677,8.950692596
5.179011223,8.962615843
8.327310594,8.950692596
9.564523109,8.950692596
11.31652267,8.938769348
12.99785103,8.950692596
14.70904758,8.950692596
19.35652567,8.950692596
36.82434205,8.926846101
51.55067422,8.926846101
11.4857288,9.952245391
8.728019392,9.952245391
7.487064687,9.952245391
2.508930815,9.976091886
2.335259497,9.976091886
2.597337136,11.99112072
4.366393937,12.99267352
5.090108414,12.99267352
10,-0.015589569
8.728019392,-0.003666322
2.895981365,-0.003666322
3.417993086,9.964168638
3.573615795,9.964168638
2.195223019,8.974539091
2.323735148,8.974539091
6.09744665,8.950692596
6.327933528,8.950692596
2.038219017,7.984909544
2.189799681,7.984909544
2.335259497,7.984909544
4.249189071,7.984909544
4.644932574,7.972986296
4.531446059,7.972986296
5.803136821,7.961063048
7.268092835,7.961063048
7.468567757,7.961063048
10.50715645,7.949139801
11.14980926,7.961063048
12.61770692,7.961063048
11.97901136,7.961063048
20.23783669,7.949139801
21.21167802,7.949139801
20.95095029,6.947587006
22.17745493,6.947587006
14.92897919,6.959510253
13.38944805,6.959510253
14.27885664,6.959510253
11.51417478,6.959510253
10.85052067,6.959510253
10.22511826,6.959510253
7.413350699,6.959510253
6.127686372,6.971433501
5.717645832,6.971433501
4.249189071,6.971433501
4.004274274,6.971433501
2.968508949,6.971433501
3.173535649,6.971433501
3.309830857,6.971433501
1.318806556,6.983356748
1.382267308,6.983356748
1.568120001,6.971433501
1.659920442,6.983356748
1.714165115,6.983356748
1.850779631,5.969880706
1.925497107,5.969880706
1.993345178,5.969880706
3.564787112,5.969880706
4.726060032,5.969880706
4.520251039,5.969880706
4.165930076,5.969880706
3.717885566,5.969880706
3.877559204,5.969880706
5.204696049,5.969880706
5.619496831,5.969880706
5.746001966,5.969880706
12.37047443,5.946034211
12.9657396,5.946034211
16.35979024,5.946034211
17.44650703,5.946034211
18.37671791,5.946034211
10.48119833,4.968327911
9.901544877,4.968327911
1.345163818,4.992174406
1.40293515,4.992174406
1.944643115,4.980251158
2.028160543,4.980251158
2.195223019,4.992174406
2.323735148,4.992174406
2.655807937,4.992174406
2.839237244,4.992174406
3.820435552,4.980251158
4.044090416,4.980251158
4.520251039,4.968327911
4.726060032,4.980251158
5.963204039,4.968327911
6.934410173,4.968327911
6.250152424,4.968327911
6.567132938,4.968327911
1.322072761,3.990621611
1.361903942,3.990621611
3.85842371,3.978698363
3.984513449,3.990621611
4.238691372,3.990621611
1.255150774,2.989068816
1.325347055,3.000992063
1.396011759,3.000992063
1.672284071,0.008256926
1.564245932,0.008256926
1.474085911,0.008256926
1.365276883,0.008256926
1.185735765,0.008256926
1.23360488,0.008256926
1.289771446,0.008256926
