"sampleID","param","error","scam_p","scam_u","quad_u","rmax_u","rmed_u","rprop_u","lines3_u","func"
1,6,0.2,0.000680039601030789,1,1,1,1,1,0,"beta"
5,6,0.2,7.61933650618961e-13,1,1,1,1,1,0,"beta"
9,6,0.2,5.68544955359563e-05,1,1,1,1,1,0,"beta"
13,6,0.2,0.00010467083454225,1,1,1,1,1,0,"beta"
17,6,0.2,1.11517467436025e-05,1,1,1,1,1,0,"beta"
21,6,0.2,2.00909989445819e-05,1,1,1,1,1,0,"beta"
25,6,0.2,1.56556721422331e-05,1,1,1,1,1,0,"beta"
29,6,0.2,3.23992425075254e-05,1,1,1,1,1,0,"beta"
33,6,0.2,3.57732160324837e-05,1,1,1,1,1,0,"beta"
37,6,0.2,0.000384195279714111,1,1,1,1,1,0,"beta"
41,6,0.2,0.000300163215281618,1,1,1,1,1,0,"beta"
45,6,0.2,0.00304163281149179,1,1,1,1,1,0,"beta"
49,6,0.2,1.6334002620112e-05,1,1,1,1,1,0,"beta"
53,6,0.2,0.000647709387871568,1,1,1,1,1,0,"beta"
57,6,0.2,0.00015661706040767,1,1,1,1,1,0,"beta"
61,6,0.2,8.47644869875945e-06,1,0,1,1,1,0,"beta"
65,6,0.2,0.000332213218105977,1,1,1,1,1,0,"beta"
69,6,0.2,0.00017071781982262,1,1,1,1,1,0,"beta"
73,6,0.2,2.89009865026286e-05,1,1,1,1,1,0,"beta"
77,6,0.2,0.000134783641580844,1,1,1,1,1,0,"beta"
81,6,0.2,2.5035154871147e-06,1,1,1,1,1,0,"beta"
85,6,0.2,5.22696759490968e-07,1,1,1,1,1,0,"beta"
89,6,0.2,2.33110132403068e-06,1,1,1,1,1,0,"beta"
93,6,0.2,6.94346843516359e-06,1,1,1,1,1,0,"beta"
97,6,0.2,0.000126080479656977,1,1,1,1,1,0,"beta"
101,6,0.2,0.000301110256852132,1,1,1,1,1,0,"beta"
105,6,0.2,1.9081231865172e-07,1,1,1,1,1,0,"beta"
109,6,0.2,1.08077343976539e-05,1,1,1,1,1,0,"beta"
113,6,0.2,1.24537203877372e-05,1,1,1,1,1,0,"beta"
