"sampleID","param","error","scam_p","scam_u","quad_u","rmax_u","rmed_u","rprop_u","lines3_u","func","CurveID","SN"
4001,2,0.2,0.666993598311087,0,0,0,0,0,0,"linear","linear2",5
4005,2,0.2,0.0370596878618438,1,0,0,0,0,0,"linear","linear2",5
4009,2,0.2,0.627526874071153,0,0,0,0,0,0,"linear","linear2",5
4013,2,0.2,0.95166520572966,0,0,0,0,0,0,"linear","linear2",5
4017,2,0.2,0.0385774562219628,1,0,0,0,0,0,"linear","linear2",5
4021,2,0.2,0.621737696581002,0,0,0,0,0,0,"linear","linear2",5
4025,2,0.2,0.142815020404911,0,0,1,0,0,1,"linear","linear2",5
4029,2,0.2,0.300747326951532,0,0,0,0,0,0,"linear","linear2",5
4033,2,0.2,0.0336563582349151,1,0,0,0,0,0,"linear","linear2",5
4037,2,0.2,0.819454485368069,0,0,0,0,0,0,"linear","linear2",5
4041,2,0.2,0.50816862639095,0,0,0,0,0,0,"linear","linear2",5
4045,2,0.2,0.548890044709836,0,0,0,0,0,0,"linear","linear2",5
4049,2,0.2,0.996069048455463,0,0,0,0,0,0,"linear","linear2",5
4053,2,0.2,0.988088581619264,0,0,0,0,0,0,"linear","linear2",5
4057,2,0.2,0.845741960077304,0,0,0,0,0,0,"linear","linear2",5
4061,2,0.2,0.377212987257377,0,0,0,0,0,0,"linear","linear2",5
4065,2,0.2,0.463942266568517,0,0,0,0,0,0,"linear","linear2",5
4069,2,0.2,0.981893315830463,0,0,0,0,0,0,"linear","linear2",5
4073,2,0.2,0.757905461665626,0,0,0,0,0,0,"linear","linear2",5
4077,2,0.2,0.732230017660128,0,0,0,0,0,0,"linear","linear2",5
4081,2,0.2,0.809888398147599,0,0,0,0,0,0,"linear","linear2",5
4085,2,0.2,0.75078419166132,0,0,0,0,0,0,"linear","linear2",5
4089,2,0.2,0.591237764616246,0,0,0,0,0,0,"linear","linear2",5
4093,2,0.2,0.477052318433075,0,0,0,0,0,0,"linear","linear2",5
4097,2,0.2,0.131935933886533,0,0,0,0,0,0,"linear","linear2",5
4101,2,0.2,0.572038223618121,0,0,0,0,0,0,"linear","linear2",5
4105,2,0.2,0.23300411488069,0,0,0,0,0,0,"linear","linear2",5
4109,2,0.2,0.650612318091183,0,0,0,0,0,0,"linear","linear2",5
4113,2,0.2,0.362993614340895,0,0,0,0,0,0,"linear","linear2",5
4117,2,0.2,0.994985632766081,0,0,0,0,0,0,"linear","linear2",5
4121,2,0.2,0.544876753399608,0,0,0,0,0,0,"linear","linear2",5
4125,2,0.2,0.0556894073213451,0,0,0,0,0,0,"linear","linear2",5
4129,2,0.2,0.468097695634704,0,0,0,0,0,0,"linear","linear2",5
4133,2,0.2,0.514355900675922,0,0,0,0,0,0,"linear","linear2",5
4137,2,0.2,0.690445256210238,0,0,0,0,0,0,"linear","linear2",5
4141,2,0.2,0.629068900585239,0,0,0,0,0,0,"linear","linear2",5
4145,2,0.2,0.293200305255873,0,0,0,0,0,0,"linear","linear2",5
4149,2,0.2,0.609142034991019,0,0,0,0,0,0,"linear","linear2",5
4153,2,0.2,0.253820599792801,0,0,0,0,0,0,"linear","linear2",5
4157,2,0.2,0.0744830405011335,0,0,0,0,0,0,"linear","linear2",5
4161,2,0.2,0.403212289020181,0,0,0,0,0,0,"linear","linear2",5
4165,2,0.2,0.922676209550447,0,0,0,0,0,0,"linear","linear2",5
4169,2,0.2,0.247327237409602,0,0,0,0,0,0,"linear","linear2",5
4173,2,0.2,0.301225470577172,0,0,0,0,0,0,"linear","linear2",5
4177,2,0.2,0.591074709315926,0,0,0,0,0,0,"linear","linear2",5
4181,2,0.2,0.481034895285781,0,0,0,0,0,0,"linear","linear2",5
4185,2,0.2,0.814093501118865,0,0,0,0,0,0,"linear","linear2",5
4189,2,0.2,0.553752051569157,0,0,0,0,0,0,"linear","linear2",5
4193,2,0.2,0.428132535299883,0,0,0,0,0,0,"linear","linear2",5
4197,2,0.2,0.148693872943037,0,0,0,0,0,0,"linear","linear2",5
4201,2,0.2,0.578212023607131,0,0,0,0,0,0,"linear","linear2",5
4205,2,0.2,1,0,0,0,0,0,0,"linear","linear2",5
4209,2,0.2,0.356370379335171,0,0,0,0,0,0,"linear","linear2",5
4213,2,0.2,0.842993204781851,0,0,0,0,0,0,"linear","linear2",5
4217,2,0.2,0.0228922119130829,1,0,0,0,0,0,"linear","linear2",5
4221,2,0.2,0.656576492849519,0,0,0,0,0,0,"linear","linear2",5
4225,2,0.2,0.546170699041411,0,0,0,0,0,0,"linear","linear2",5
4229,2,0.2,0.161435586002009,0,0,0,0,0,0,"linear","linear2",5
4233,2,0.2,0.993173237118394,0,0,0,0,0,0,"linear","linear2",5
4237,2,0.2,0.569033394614442,0,0,0,0,0,0,"linear","linear2",5
4241,2,0.2,0.389098215315502,0,0,0,0,0,0,"linear","linear2",5
4245,2,0.2,0.638101182893167,0,0,0,0,0,0,"linear","linear2",5
4249,2,0.2,0.425408312216871,0,0,0,0,0,0,"linear","linear2",5
4253,2,0.2,0.833767433891031,0,0,0,0,0,0,"linear","linear2",5
4257,2,0.2,0.906738070133286,0,0,0,0,0,0,"linear","linear2",5
4261,2,0.2,0.972966065516623,0,0,0,0,0,0,"linear","linear2",5
4265,2,0.2,0.467949068135286,0,0,0,0,0,0,"linear","linear2",5
4269,2,0.2,0.772312465608677,0,0,0,0,0,0,"linear","linear2",5
4273,2,0.2,0.165727706902231,0,0,0,0,0,0,"linear","linear2",5
4277,2,0.2,0.547849814602718,0,0,0,0,0,0,"linear","linear2",5
4281,2,0.2,0.708448580134723,0,0,0,0,0,0,"linear","linear2",5
4285,2,0.2,0.807790714425589,0,0,0,0,0,0,"linear","linear2",5
4289,2,0.2,0.469854078042051,0,0,0,0,0,0,"linear","linear2",5
4293,2,0.2,0.564115237122052,0,0,0,0,0,0,"linear","linear2",5
4297,2,0.2,0.195363480327878,0,0,0,0,0,0,"linear","linear2",5
4301,2,0.2,0.904567058304688,0,0,0,0,0,0,"linear","linear2",5
4305,2,0.2,0.108179316798747,0,0,0,0,0,0,"linear","linear2",5
4309,2,0.2,0.421867635430205,0,0,0,0,0,0,"linear","linear2",5
4313,2,0.2,0.56012088595995,0,0,0,0,0,0,"linear","linear2",5
4317,2,0.2,0.385414306531567,0,0,0,0,0,0,"linear","linear2",5
4321,2,0.2,1,0,0,0,0,0,0,"linear","linear2",5
4325,2,0.2,0.510676570189718,0,0,0,0,0,0,"linear","linear2",5
4329,2,0.2,0.444513977556386,0,0,0,0,0,0,"linear","linear2",5
4333,2,0.2,0.747361642159828,0,0,0,0,0,0,"linear","linear2",5
4337,2,0.2,0.512744232148717,0,0,0,0,0,0,"linear","linear2",5
4341,2,0.2,0.953681105105781,0,0,0,0,0,0,"linear","linear2",5
4345,2,0.2,0.679252228820357,0,0,0,0,0,0,"linear","linear2",5
4349,2,0.2,0.358575546707658,0,0,0,0,0,0,"linear","linear2",5
4353,2,0.2,0.309554383354298,0,0,0,0,0,0,"linear","linear2",5
4357,2,0.2,0.684598372269614,0,0,0,0,0,0,"linear","linear2",5
4361,2,0.2,0.353193446568571,0,0,0,0,0,0,"linear","linear2",5
4365,2,0.2,0.659138026727143,0,0,0,0,0,0,"linear","linear2",5
4369,2,0.2,0.34078431572769,0,0,0,0,0,0,"linear","linear2",5
4373,2,0.2,0.780719446031886,0,0,0,0,0,0,"linear","linear2",5
4377,2,0.2,0.312090230522513,0,0,0,0,0,0,"linear","linear2",5
4381,2,0.2,0.325640320205197,0,0,0,0,0,0,"linear","linear2",5
4385,2,0.2,0.441847263336916,0,0,0,0,0,0,"linear","linear2",5
4389,2,0.2,0.919343809974399,0,0,0,0,0,0,"linear","linear2",5
4393,2,0.2,0.980437696011053,0,0,0,0,0,0,"linear","linear2",5
4397,2,0.2,0.642884568514998,0,0,0,0,0,0,"linear","linear2",5
4401,2,0.2,0.559873146650464,0,0,0,0,0,0,"linear","linear2",5
4405,2,0.2,0.719535503131539,0,0,0,0,0,0,"linear","linear2",5
4409,2,0.2,0.625916294002587,0,0,0,0,0,0,"linear","linear2",5
4413,2,0.2,0.494346387157391,0,0,0,0,0,0,"linear","linear2",5
4417,2,0.2,0.0681413727612758,0,0,0,0,0,0,"linear","linear2",5
