"sampleID","peak_or_trough","CI_start_ID","CI_end_ID","CI_width"
"1",1,544,706,0.163
"5",1,538,697,0.16
"5",-1,875,911,0.037
"9",1,529,728,0.2
"13",1,540,686,0.147
"17",1,563,688,0.126
"21",1,467,618,0.152
"25",1,539,698,0.16
"29",1,602,712,0.111
"33",1,576,700,0.125
"37",1,540,757,0.218
"41",1,495,646,0.152
"45",1,561,768,0.208
"49",1,521,656,0.136
"53",1,537,683,0.147
"57",1,503,641,0.139
"61",1,652,806,0.155
"65",1,549,694,0.146
"69",1,544,701,0.158
"73",1,546,695,0.15
"77",1,539,685,0.147
"81",1,630,742,0.113
"85",1,588,696,0.109
"89",1,498,642,0.145
"93",1,538,681,0.144
"97",1,545,685,0.141
"101",1,563,710,0.148
"105",1,579,707,0.129
"109",1,571,651,0.081
"113",1,593,752,0.16
"117",1,594,754,0.161
"121",1,518,667,0.15
"125",1,523,698,0.176
"129",1,594,741,0.148
"133",1,486,758,0.273
"137",1,509,691,0.183
"141",1,506,703,0.198
"145",1,599,679,0.081
"145",-1,922,956,0.035
"149",1,556,690,0.135
"153",1,607,694,0.088
"157",1,506,635,0.13
"161",-1,93,116,0.024
"161",1,243,284,0.042
"161",-1,355,406,0.052
"161",1,647,682,0.036
"165",1,585,653,0.069
"169",1,548,688,0.141
"173",1,525,735,0.211
"177",1,557,683,0.127
"181",1,549,711,0.163
"185",1,543,649,0.107
"189",1,425,701,0.277
"193",1,544,680,0.137
"197",1,597,631,0.035
"201",1,571,698,0.128
"205",1,567,701,0.135
"209",1,585,657,0.073
"213",1,531,686,0.156
"217",1,554,680,0.127
"221",1,481,738,0.258
"225",1,503,728,0.226
"229",1,465,651,0.187
"233",1,528,702,0.175
"237",1,503,688,0.186
"241",1,512,692,0.181
"245",1,523,654,0.132
"249",1,522,697,0.176
"253",-1,139,275,0.137
"253",1,570,733,0.164
"257",1,454,685,0.232
"261",1,59,114,0.056
"261",-1,148,252,0.105
"261",1,537,674,0.138
"265",1,522,698,0.177
"269",1,521,705,0.185
"273",1,556,706,0.151
"277",-1,27,396,0.37
"277",1,529,709,0.181
"281",1,531,704,0.174
"285",1,553,649,0.097
"289",1,495,728,0.234
"293",1,515,681,0.167
"297",1,536,711,0.176
"301",1,546,742,0.197
"305",1,551,679,0.129
"309",1,454,674,0.221
"313",1,550,745,0.196
"317",1,548,700,0.153
"321",1,557,696,0.14
"325",1,519,636,0.118
"329",1,595,690,0.096
"333",1,494,656,0.163
"337",1,547,803,0.257
"341",1,554,638,0.085
"345",1,520,701,0.182
"349",1,549,655,0.107
"353",1,594,749,0.156
"357",1,574,662,0.089
"361",1,566,728,0.163
"365",1,551,658,0.108
"369",1,549,812,0.264
"373",1,547,739,0.193
"377",1,496,687,0.192
"381",1,568,659,0.092
"385",1,456,727,0.272
"389",1,536,623,0.088
"393",1,543,687,0.145
"397",1,580,695,0.116
"401",1,541,694,0.154
"405",1,587,740,0.154
"409",1,529,710,0.182
"413",1,613,686,0.074
"417",1,597,675,0.079
"421",-1,85,164,0.08
"421",1,530,707,0.178
"425",1,547,699,0.153
"429",1,505,676,0.172
"433",1,532,692,0.161
"437",1,510,694,0.185
"441",1,544,690,0.147
"445",1,526,705,0.18
"449",1,504,687,0.184
"453",1,473,682,0.21
"457",1,579,700,0.122
"461",1,522,641,0.12
"465",1,583,659,0.077
"469",1,539,657,0.119
"473",1,515,742,0.228
"477",1,540,738,0.199
"481",1,574,737,0.164
"485",1,550,693,0.144
"489",1,548,678,0.131
"493",1,545,707,0.163
"497",1,569,679,0.111
"501",1,548,696,0.149
"505",1,562,690,0.129
"509",1,492,760,0.269
"513",1,533,702,0.17
"517",1,500,715,0.216
"521",1,586,748,0.163
"525",1,497,742,0.246
"529",1,532,700,0.169
"533",1,581,706,0.126
"533",-1,932,973,0.042
"537",1,474,701,0.228
"541",1,561,730,0.17
"545",1,561,685,0.125
"549",-1,68,140,0.073
"549",1,483,743,0.261
"549",-1,878,903,0.026
"553",1,547,672,0.126
"557",1,456,737,0.282
"561",1,530,684,0.155
"565",1,582,659,0.078
"569",1,547,751,0.205
"573",1,508,661,0.154
"577",1,572,709,0.138
"581",1,515,696,0.182
"585",1,527,693,0.167
"589",1,478,714,0.237
"593",1,537,672,0.136
"597",1,506,705,0.2
