"sampleID","colnames","scenario","CurveID","func","param","error","x_true_peak","true_peaked","C_0.625","C_0.875","C_0.600","C_0.800","C_0.500","C_incl_peak","n_CI","n_peak","n_trough"
1,"X1","beta60.2","beta6","beta",6,0.2,0.625,1,1,0,1,0,0,1,1,1,0
2,"X2","beta60.3","beta6","beta",6,0.3,0.625,1,1,0,1,0,1,1,1,1,0
3,"X3","beta60.4","beta6","beta",6,0.4,0.625,1,1,0,1,1,0,1,1,1,0
4,"X4","beta60.5","beta6","beta",6,0.5,0.625,1,0,0,0,0,0,0,0,0,0
5,"X5","beta60.2","beta6","beta",6,0.2,0.625,1,1,1,1,0,0,1,2,1,1
6,"X6","beta60.3","beta6","beta",6,0.3,0.625,1,1,0,1,0,0,1,1,1,0
7,"X7","beta60.4","beta6","beta",6,0.4,0.625,1,0,0,0,0,0,0,0,0,0
8,"X8","beta60.5","beta6","beta",6,0.5,0.625,1,1,0,1,1,1,1,1,1,0
9,"X9","beta60.2","beta6","beta",6,0.2,0.625,1,1,0,1,0,0,1,1,1,0
10,"X10","beta60.3","beta6","beta",6,0.3,0.625,1,1,0,1,0,0,1,1,1,0
11,"X11","beta60.4","beta6","beta",6,0.4,0.625,1,1,0,1,0,0,1,1,1,0
12,"X12","beta60.5","beta6","beta",6,0.5,0.625,1,1,0,1,0,0,1,1,1,0
13,"X13","beta60.2","beta6","beta",6,0.2,0.625,1,1,0,1,0,0,1,1,1,0
14,"X14","beta60.3","beta6","beta",6,0.3,0.625,1,1,0,1,0,0,1,3,1,2
15,"X15","beta60.4","beta6","beta",6,0.4,0.625,1,0,0,0,0,0,0,0,0,0
16,"X16","beta60.5","beta6","beta",6,0.5,0.625,1,0,0,0,0,0,0,0,0,0
17,"X17","beta60.2","beta6","beta",6,0.2,0.625,1,1,0,1,0,0,1,1,1,0
18,"X18","beta60.3","beta6","beta",6,0.3,0.625,1,1,0,1,0,1,1,1,1,0
19,"X19","beta60.4","beta6","beta",6,0.4,0.625,1,0,0,0,0,0,0,0,0,0
20,"X20","beta60.5","beta6","beta",6,0.5,0.625,1,1,0,1,1,1,1,3,2,1
21,"X21","beta60.2","beta6","beta",6,0.2,0.625,1,0,0,1,0,1,0,1,1,0
22,"X22","beta60.3","beta6","beta",6,0.3,0.625,1,1,0,1,0,1,1,2,1,1
23,"X23","beta60.4","beta6","beta",6,0.4,0.625,1,0,0,0,0,0,0,0,0,0
24,"X24","beta60.5","beta6","beta",6,0.5,0.625,1,0,0,0,0,0,0,0,0,0
