"sampleID","n_CI"
1,1
5,2
9,1
13,1
17,1
21,1
25,1
29,1
33,1
37,1
41,1
45,1
49,1
53,1
57,1
61,1
65,1
69,1
73,1
77,1
81,1
85,1
89,1
93,1
97,1
101,1
105,1
109,1
113,1
117,1
121,1
125,1
129,1
133,1
137,1
141,1
145,2
149,1
153,1
157,1
161,4
165,1
169,1
173,1
177,1
181,1
185,1
189,1
193,1
197,1
201,1
205,1
209,1
213,1
217,1
221,1
225,1
229,1
233,1
237,1
241,1
245,1
249,1
253,2
257,1
261,3
265,1
269,1
273,1
277,2
281,1
285,1
289,1
293,1
297,1
301,1
305,1
309,1
313,1
317,1
321,1
325,1
329,1
333,1
337,1
341,1
345,1
349,1
353,1
357,1
361,1
365,1
369,1
373,1
377,1
381,1
385,1
389,1
393,1
397,1
401,1
405,1
409,1
413,1
417,1
421,2
425,1
429,1
433,1
437,1
441,1
445,1
449,1
453,1
457,1
461,1
465,1
469,1
473,1
477,1
481,1
485,1
489,1
493,1
497,1
501,1
505,1
509,1
513,1
517,1
521,1
525,1
529,1
533,2
537,1
541,1
545,1
549,3
553,1
557,1
561,1
565,1
569,1
573,1
577,1
581,1
585,1
589,1
593,1
597,1
601,1
605,1
609,1
613,1
617,1
621,1
625,1
629,1
633,1
637,1
641,1
645,1
649,1
653,1
657,1
661,1
665,1
669,1
673,1
677,2
681,1
685,1
689,2
693,1
697,1
701,1
705,1
709,1
713,1
717,3
721,2
725,2
729,1
733,1
737,1
741,1
745,1
749,1
753,1
757,1
761,1
765,1
769,1
773,1
777,1
781,1
785,1
789,1
793,1
797,1
801,1
805,1
809,1
813,1
817,1
821,1
825,1
829,2
833,1
837,1
841,1
845,1
849,1
853,1
857,1
861,1
865,1
869,1
873,1
877,1
881,1
885,1
889,1
893,1
897,1
901,1
905,1
909,1
913,1
917,1
921,1
925,1
929,1
933,1
937,1
941,1
945,1
949,1
953,2
957,1
961,1
965,2
969,1
973,1
977,2
981,1
985,1
989,1
993,1
997,1
1001,1
1005,1
1009,1
1013,1
1017,1
1021,1
1025,1
1029,1
1033,1
1037,1
1041,1
1045,1
1049,1
1053,1
1057,1
1061,1
1065,2
1069,1
1073,2
1077,1
1081,1
1085,1
1089,1
1093,2
1097,1
1101,1
1105,1
1109,1
1113,1
1117,1
1121,1
1125,1
1129,1
1133,1
1137,1
1141,1
1145,1
1149,1
1153,1
1157,1
1161,1
1165,1
1169,1
1173,1
1177,1
1181,1
1185,1
1189,1
1193,1
1197,1
1201,1
1205,1
1209,1
1213,1
1217,1
1221,1
1225,1
1229,1
1233,1
1237,1
1241,1
1245,1
1249,2
1253,1
1257,1
1261,1
1265,1
1269,1
1273,1
1277,1
1281,1
1285,1
1289,1
1293,1
1297,1
1301,1
1305,1
1309,1
1313,1
1317,1
1321,1
1325,1
1329,1
1333,1
1337,1
1341,1
1345,1
1349,1
1353,1
1357,1
1361,1
1365,1
1369,1
1373,1
1377,1
1381,1
1385,1
1389,1
1393,1
1397,1
1401,1
1405,1
1409,1
1413,1
1417,1
1421,2
1425,1
1429,1
1433,1
1437,2
1441,1
1445,1
1449,1
1453,2
1457,1
1461,1
1465,1
1469,1
1473,1
1477,1
1481,1
1485,1
1489,1
1493,1
1497,1
1501,2
1505,1
1509,1
1513,1
1517,1
1521,1
1525,1
1529,1
1533,2
1537,1
1541,1
1545,1
1549,1
1553,1
1557,1
1561,1
1565,1
1569,1
1573,1
1577,1
1581,1
1585,1
1589,1
1593,1
1597,1
1601,1
1605,1
1609,1
1613,1
1617,1
1621,1
1625,1
1629,1
1633,1
1637,1
1641,1
1645,1
1649,1
1653,1
1657,1
1661,1
1665,1
1669,1
1673,1
1677,1
1681,1
1685,1
1689,1
1693,2
1697,1
1701,1
1705,1
1709,1
1713,2
1717,2
1721,1
1725,1
1729,1
1733,1
1737,1
1741,1
1745,1
1749,1
1753,1
1757,1
1761,1
1765,2
1769,1
1773,1
1777,1
1781,1
1785,1
1789,1
1793,1
1797,1
1801,2
1805,1
1809,1
1813,1
1817,1
1821,1
1825,1
1829,1
1833,1
1837,1
1841,1
1845,1
1849,1
1853,1
1857,1
1861,1
1865,1
1869,1
1873,1
1877,1
1881,1
1885,1
1889,1
1893,1
1897,1
1901,1
1905,1
1909,1
1913,4
1917,1
1921,1
1925,1
1929,2
1933,1
1937,2
1941,1
1945,1
1949,1
1953,1
1957,1
1961,1
1965,1
1969,1
1973,1
1977,1
1981,1
1985,1
1989,1
1993,1
1997,1
2,1
6,1
10,1
14,3
18,1
22,2
26,1
30,1
34,1
38,1
42,1
46,2
50,1
54,1
58,1
62,1
66,1
70,1
74,1
78,2
82,1
86,1
90,2
94,1
98,1
102,0
106,1
110,1
114,1
118,1
122,1
126,1
130,1
134,1
138,1
142,1
146,1
150,1
154,2
158,1
162,1
166,1
170,0
174,1
178,1
182,1
186,1
190,1
194,1
198,1
202,1
206,1
210,0
214,1
218,1
222,1
226,1
230,1
234,1
238,1
242,2
246,0
250,1
254,0
258,0
262,1
266,1
270,1
274,1
278,1
282,0
286,1
290,1
294,1
298,1
302,1
306,1
310,1
314,1
318,1
322,0
326,1
330,1
334,1
338,1
342,1
346,2
350,0
354,1
358,1
362,1
366,1
370,1
374,1
378,1
382,3
386,1
390,1
394,0
398,0
402,0
406,1
410,0
414,1
418,1
422,1
426,1
430,1
434,0
438,1
442,1
446,1
450,0
454,0
458,1
462,1
466,1
470,1
474,1
478,2
482,0
486,1
490,1
494,0
498,1
502,1
506,1
510,1
514,1
518,1
522,1
526,1
530,1
534,1
538,1
542,1
546,1
550,1
554,1
558,1
562,1
566,0
570,1
574,1
578,1
582,1
586,1
590,1
594,1
598,1
602,1
606,1
610,1
614,1
618,1
622,1
626,0
630,1
634,1
638,1
642,1
646,1
650,1
654,1
658,1
662,2
666,3
670,1
674,2
678,1
682,1
686,1
690,1
694,1
698,1
702,1
706,1
710,1
714,2
718,1
722,0
726,0
730,1
734,1
738,1
742,1
746,2
750,1
754,1
758,1
762,3
766,1
770,2
774,1
778,1
782,1
786,1
790,1
794,1
798,1
802,1
806,1
810,1
814,1
